Loan ID,Married,Dependents,Education,Self Employed,Applicant Income,Coapplicant Income,Loan Amount,Loan Amount Term,Credit History,Property Area,Monthly Payment / AI,Monthly payment / CAI,Loan Status
142,1,1,1,0,33846,0,260,360,1,2,0.021338481,1,0
143,1,0,1,0,3625,0,108,360,1,2,0.082758621,1,1
144,1,0,1,1,39147,4750,120,360,1,2,0.008514914,0.070175439,1
145,1,1,1,1,2178,0,66,300,0,1,0.101010101,1,0
146,1,0,1,0,9328,0,188,180,1,1,0.111968744,1,1
147,0,0,0,0,4885,0,48,360,1,1,0.027294439,1,1
148,0,0,1,0,12000,0,164,360,1,2,0.037962963,1,0
149,1,0,0,0,6033,0,160,360,1,3,0.073668895,1,0
150,0,0,1,0,3858,0,76,360,1,2,0.05472035,1,1
151,0,0,1,0,4191,0,120,360,1,1,0.079535513,1,1
152,1,1,1,0,3125,2583,170,360,1,2,0.151111111,0.182819289,0
153,0,0,1,0,8333,3750,187,360,1,1,0.062335827,0.138518519,1
154,0,0,1,1,11000,0,83,360,1,3,0.020959596,1,0
155,1,1,0,0,2600,2500,90,360,1,2,0.096153846,0.1,1
156,0,2,1,0,4923,0,166,360,0,2,0.093664658,1,1
157,1,1,0,0,3500,1083,135,360,1,3,0.107142857,0.346260388,1
158,1,2,0,0,3917,0,124,360,1,2,0.087935779,1,1
159,0,0,0,0,4408,0,120,360,1,2,0.075620085,1,1
160,0,0,1,0,3244,0,80,360,1,3,0.068502535,1,1
161,0,0,0,0,3975,2531,55,360,1,1,0.038434661,0.060362615,1
162,0,0,1,0,2479,0,59,360,1,3,0.066110887,1,1
163,0,0,1,0,3418,0,127,360,1,2,0.103211755,1,0
164,0,0,1,0,10000,0,214,360,1,2,0.059444444,1,0
165,1,3,1,0,3430,1250,128,360,0,2,0.103660512,0.284444444,0
166,1,1,1,1,7787,0,240,360,1,3,0.085612773,1,1
